jetOrdinality,jetPT,jetEta,jetPhi,jetBScore,m3M,m3PT,m3Eta,m3Phi,m4M,m4PT,m4Eta,m4Phi,isStopMatched,isChiMatched,isOther
1,255.0,0.541015625,-0.644897460938,0.00981903076172,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,0,0,1
2,131.5,-1.61474609375,-2.84765625,0.067138671875,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,0,1,0
3,90.5,1.15576171875,0.561157226562,0.16455078125,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,0,1,0
4,90.1875,1.03344726562,-0.382995605469,0.68994140625,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,1,0,0
5,73.75,0.0772857666016,-0.485900878906,0.0291748046875,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,0,0,1
0,417.5,0.2490234375,-2.48046875,0.0119934082031,595.639045401,368.155881221,1.9597937704,1.09108999917,1277.9159401,174.399973878,2.76967237931,2.72697368008,0,1,0
1,378.0,1.111328125,0.8291015625,0.951171875,595.639045401,368.155881221,1.9597937704,1.09108999917,1277.9159401,174.399973878,2.76967237931,2.72697368008,1,0,0
2,148.625,1.85961914062,1.51684570312,0.0248870849609,595.639045401,368.155881221,1.9597937704,1.09108999917,1277.9159401,174.399973878,2.76967237931,2.72697368008,0,1,0
3,137.25,1.53271484375,-2.31982421875,0.00286865234375,595.639045401,368.155881221,1.9597937704,1.09108999917,1277.9159401,174.399973878,2.76967237931,2.72697368008,0,0,1
4,101.9375,1.318359375,-0.872802734375,0.203979492188,595.639045401,368.155881221,1.9597937704,1.09108999917,1277.9159401,174.399973878,2.76967237931,2.72697368008,0,1,0
0,425.75,0.7783203125,-0.688842773438,0.0279693603516,851.327026334,319.564122528,2.25109531139,2.22032566289,1366.16172723,136.35326001,3.3111371861,-0.118608202135,0,1,0
1,402.0,0.6650390625,2.07470703125,0.99951171875,851.327026334,319.564122528,2.25109531139,2.22032566289,1366.16172723,136.35326001,3.3111371861,-0.118608202135,1,0,0
2,187.375,1.97900390625,-2.4765625,0.98876953125,851.327026334,319.564122528,2.25109531139,2.22032566289,1366.16172723,136.35326001,3.3111371861,-0.118608202135,0,1,0
3,149.375,2.01171875,0.121368408203,0.0109176635742,851.327026334,319.564122528,2.25109531139,2.22032566289,1366.16172723,136.35326001,3.3111371861,-0.118608202135,0,1,0
4,53.96875,1.501953125,-2.296875,0.00264930725098,851.327026334,319.564122528,2.25109531139,2.22032566289,1366.16172723,136.35326001,3.3111371861,-0.118608202135,0,0,1
0,576.5,-0.105560302734,-0.952392578125,0.99560546875,548.111959868,641.793672578,-0.262904920811,2.26625457937,1425.6509941,80.3677694798,-1.78057789378,2.85123881098,0,1,0
1,450.25,0.242889404297,2.0791015625,0.8876953125,548.111959868,641.793672578,-0.262904920811,2.26625457937,1425.6509941,80.3677694798,-1.78057789378,2.85123881098,1,0,0
2,118.875,-1.55786132812,2.54541015625,0.0286712646484,548.111959868,641.793672578,-0.262904920811,2.26625457937,1425.6509941,80.3677694798,-1.78057789378,2.85123881098,0,1,0
3,99.25,-0.114501953125,2.80615234375,0.00952911376953,548.111959868,641.793672578,-0.262904920811,2.26625457937,1425.6509941,80.3677694798,-1.78057789378,2.85123881098,0,1,0
4,51.59375,0.242370605469,-0.322326660156,0.0162963867188,548.111959868,641.793672578,-0.262904920811,2.26625457937,1425.6509941,80.3677694798,-1.78057789378,2.85123881098,0,0,1
0,461.75,-0.687377929688,-2.908203125,0.93798828125,747.151570466,419.071495034,-0.439820440309,0.182682195333,1353.06284154,48.1549374336,-3.09984849311,-2.45138492608,1,0,0
1,282.0,0.221557617188,0.0947723388672,0.0141754150391,747.151570466,419.071495034,-0.439820440309,0.182682195333,1353.06284154,48.1549374336,-3.09984849311,-2.45138492608,0,1,0
2,250.75,-0.9111328125,-0.712768554688,0.8740234375,747.151570466,419.071495034,-0.439820440309,0.182682195333,1353.06284154,48.1549374336,-3.09984849311,-2.45138492608,0,1,0
3,221.25,0.0366363525391,1.83764648438,0.00892639160156,747.151570466,419.071495034,-0.439820440309,0.182682195333,1353.06284154,48.1549374336,-3.09984849311,-2.45138492608,0,1,0
4,34.71875,0.217010498047,0.615112304688,0.0459289550781,747.151570466,419.071495034,-0.439820440309,0.182682195333,1353.06284154,48.1549374336,-3.09984849311,-2.45138492608,0,0,1
0,559.0,0.115127563477,-0.756225585938,0.0359802246094,570.653600798,612.815178136,-0.360349612105,2.38408938787,1421.6196487,53.8203736623,-1.81655454406,2.37081850692,0,1,0
